Column_Index,Variable_Code,Name,Unit,Type
0,XMEAS(1),A Feed Flow (Stream 1),kscmh,Measured
1,XMEAS(2),D Feed Flow (Stream 2),kg/h,Measured
2,XMEAS(3),E Feed Flow (Stream 3),kg/h,Measured
3,XMEAS(4),A and C Feed Flow (Stream 4),kscmh,Measured
4,XMEAS(5),Recycle Flow (Stream 8),kscmh,Measured
5,XMEAS(6),Reactor Feed Rate,kscmh,Measured
6,XMEAS(7),Reactor Pressure,kPa gauge,Measured
7,XMEAS(8),Reactor Level,%,Measured
8,XMEAS(9),Reactor Temperature,Deg C,Measured
9,XMEAS(10),Purge Rate (Stream 9),kscmh,Measured
10,XMEAS(11),Separator Temperature,Deg C,Measured
11,XMEAS(12),Separator Level,%,Measured
12,XMEAS(13),Separator Pressure,kPa gauge,Measured
13,XMEAS(14),Separator Underflow (Stream 10),m3/h,Measured
14,XMEAS(15),Stripper Level,%,Measured
15,XMEAS(16),Stripper Pressure,kPa gauge,Measured
16,XMEAS(17),Stripper Underflow (Stream 11),m3/h,Measured
17,XMEAS(18),Stripper Temperature,Deg C,Measured
18,XMEAS(19),Stripper Steam Flow,kg/h,Measured
19,XMEAS(20),Compressor Work,kW,Measured
20,XMEAS(21),Reactor Coolant Outlet Temp,Deg C,Measured
21,XMEAS(22),Separator Coolant Outlet Temp,Deg C,Measured
22,XMEAS(23),Reactor Feed Component A,mol %,Measured (Composition)
23,XMEAS(24),Reactor Feed Component B,mol %,Measured (Composition)
24,XMEAS(25),Reactor Feed Component C,mol %,Measured (Composition)
25,XMEAS(26),Reactor Feed Component D,mol %,Measured (Composition)
26,XMEAS(27),Reactor Feed Component E,mol %,Measured (Composition)
27,XMEAS(28),Reactor Feed Component F,mol %,Measured (Composition)
28,XMEAS(29),Purge Gas Component A,mol %,Measured (Composition)
29,XMEAS(30),Purge Gas Component B,mol %,Measured (Composition)
30,XMEAS(31),Purge Gas Component C,mol %,Measured (Composition)
31,XMEAS(32),Purge Gas Component D,mol %,Measured (Composition)
32,XMEAS(33),Purge Gas Component E,mol %,Measured (Composition)
33,XMEAS(34),Purge Gas Component F,mol %,Measured (Composition)
34,XMEAS(35),Purge Gas Component G,mol %,Measured (Composition)
35,XMEAS(36),Purge Gas Component H,mol %,Measured (Composition)
36,XMEAS(37),Product Stream Component D,mol %,Measured (Composition)
37,XMEAS(38),Product Stream Component E,mol %,Measured (Composition)
38,XMEAS(39),Product Stream Component F,mol %,Measured (Composition)
39,XMEAS(40),Product Stream Component G,mol %,Measured (Composition)
40,XMEAS(41),Product Stream Component H,mol %,Measured (Composition)
41,XMV(1),D Feed Valve (Stream 2),%,Manipulated
42,XMV(2),E Feed Valve (Stream 3),%,Manipulated
43,XMV(3),A Feed Valve (Stream 1),%,Manipulated
44,XMV(4),A and C Feed Valve (Stream 4),%,Manipulated
45,XMV(5),Compressor Recycle Valve,%,Manipulated
46,XMV(6),Purge Valve (Stream 9),%,Manipulated
47,XMV(7),Separator Liquid Valve (Stream 10),%,Manipulated
48,XMV(8),Stripper Liquid Valve (Stream 11),%,Manipulated
49,XMV(9),Stripper Steam Valve,%,Manipulated
50,XMV(10),Reactor Coolant Valve,%,Manipulated
51,XMV(11),Separator Coolant Valve,%,Manipulated
